type,store,name,price,image_url
Egg,Lidl,frozen vegetable egg rolls,$3.59*,https://production-endpoint.azureedge.net/images/6KO34CHK6LFJAC1GF0QJ0C0/2c7be8b1-687e-4339-bbd6-04a43aac511e/502245_500x500_500x500.tif.jpg
Egg,Lidl,Italiamo egg lasagne,$2.99*,https://production-endpoint.azureedge.net/images/6ORJ6E1L6HFJAC1GF0QJ0C0/dd5f7511-e9be-4fa7-8d41-a1bf4a37a32b/673854_500x500_500x500.tif.jpg
Egg,Lidl,frozen chicken egg rolls,$3.59*,https://production-endpoint.azureedge.net/images/6KOJ8C1N6HFJAC1GF0QJ0C0/1416d609-4301-4fd8-a79b-bd2d2b99af56/514074_500x500_500x500.tif.jpg
Egg,Lidl,Liquid Egg Whites,$3.69*,https://production-endpoint.azureedge.net/images/6CSJ6E9K69FJAC1GF0QJ0C0/a426b68e-db14-4cc0-8497-d2b67778aabf/393942_500x500_500x500.tif.jpg
egg yolk,Lidl,"large cage free brown eggs, grade A",$2.99*,https://production-endpoint.azureedge.net/images/6OQJED1H6DFJAC1GF0QJ0C0/7787b7ae-e44b-463e-862a-267446f4ff67/657413_500x500_500x500.tif.jpg
egg yolk,Lidl,"large cage free brown eggs, grade A",$4.49*,https://production-endpoint.azureedge.net/images/6OQJED1H6HFJAC1GF0QJ0C0/fceba2ec-165d-4708-ab8d-2e0b5afc933c/657414_500x500_500x500.tif.jpg
egg yolk,Lidl,Alpenfest spätzle German egg pasta,$2.29*,https://production-endpoint.azureedge.net/images/6CSJAC9N6DFJAC1GF0QJ0C0/23d7eadb-19c5-4566-aaa4-1cce617196a2/395173_500x500_500x500.tif.jpg
egg yolk,Lidl,Kinder Joy® cream egg,$2.28*,https://production-endpoint.azureedge.net/images/64S38C1J6TFJAC1GF0QJ0C0/f733bbe5-07fd-46c4-b39b-c890c8b0e1eb/184037_500x500_500x500.tif.jpg
egg yolk,Lidl,Asian style egg noodles,$1.49*,https://production-endpoint.azureedge.net/images/6KS3EE1M61FJAC1GF0QJ0C0/62b99965-44ad-460d-8dbd-a86bfc2fe6dc/587860_500x500_500x500.tif.jpg
egg yolk,Lidl,frozen pork egg rolls,$3.59*,https://production-endpoint.azureedge.net/images/6KO34CHK6TFJAC1GF0QJ0C0/7d54900e-e904-4d9b-8b40-08955f06e22a/502247_500x500_500x500.tif.jpg
egg yolk,Lidl,frozen vegetable egg rolls,$3.59*,https://production-endpoint.azureedge.net/images/6KO34CHK6LFJAC1GF0QJ0C0/2c7be8b1-687e-4339-bbd6-04a43aac511e/502245_500x500_500x500.tif.jpg
Granulated sugar,Lidl,granulated sugar,$3.14*,https://production-endpoint.azureedge.net/images/64R36D1O65FJAC1GF0QJ0C0/ae1f613c-78c0-4abc-b854-ed859f92a8fa/163481_500x500_500x500.tif.jpg
Granulated sugar,Lidl,organic granulated garlic,$1.99*,https://production-endpoint.azureedge.net/images/6GO3CDHL6LFJAC1GF0QJ0C0/13a5e5f7-5ad9-4505-af64-3a425bbef16d/406655_500x500_500x500.tif.jpg
Granulated sugar,Lidl,confectioners sugar,$2.22*,https://production-endpoint.azureedge.net/images/6GRJGD1N69FJAC1GF0QJ0C0/54724d2d-0960-4d7a-b7fe-d2e8801f75b1/478472_500x500_500x500.tif.jpg
