name,price,image_url
Sonora Style Flour Tortillas,$2.99,https://www.traderjoes.com/content/dam/trjo/products/m20104/77519.png/jcr:content/renditions/cq5dam.web.1280.1280
Flour Tortillas,$1.69,https://www.traderjoes.com/content/dam/trjo/products/m20104/92395.png/jcr:content/renditions/cq5dam.web.1280.1280
Unbleached Enriched All-Purpose Flour,$2.99,https://www.traderjoes.com/content/dam/trjo/products/m20905/93249.png/jcr:content/renditions/cq5dam.web.1280.1280
Miller's Irish Soda Bread,N/A,https://www.traderjoes.com/content/dam/trjo/context-images/69793-org-unbleached-flour-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
Carnitas Quesadilla,N/A,https://www.traderjoes.com/content/dam/trjo/context-images/77519-sonora-flour-tortillas-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
Dutch Baby Pancake with Berries & Lemon Cream,N/A,https://www.traderjoes.com/content/dam/trjo/context-images/93249-dutch-baby-berries-cream-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
"Dutch, Dutch Baby",N/A,https://www.traderjoes.com/content/dam/trjo/editorial-main-images/dutch-baby/dutch-dutch-baby-main-image.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
We Like It. We Like It Elote.,N/A,https://www.traderjoes.com/content/dam/trjo/context-images/Elote-feature.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
"The Best Pumpkin Bars, Bar None",N/A,https://www.traderjoes.com/content/dam/trjo/editorial-main-images/pumpkin-bars/pumpkin-bars-feature.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
